,course id,name,dept,year,semester,section,instructor,hrs,responses,date
307,46956,FIXED INCOME,IA,2016,Fall,H1,WILLIAM HRUSA,11.79,42,2016-09
308,46956,FIXED INCOME,IA,2016,Fall,M1,WILLIAM HRUSA,11.78,46,2016-09
309,46971,PRESNTN COMPTNL FINC,IA,2016,Fall,G1,RICHARD YOUNG,7.65,17,2016-09
310,46971,PRESNTN COMPTNL FINC,IA,2016,Fall,H1,RICHARD YOUNG,8.21,14,2016-09
311,46971,PRESNTN COMPTNL FINC,IA,2016,Fall,I1,RICHARD YOUNG,7.5,13,2016-09
312,46971,PRESNTN COMPTNL FINC,IA,2016,Fall,M1,RICHARD YOUNG,7.13,17,2016-09
313,46971,PRESNTN COMPTNL FINC,IA,2016,Fall,N1,EVELYN PIERCE,6.29,14,2016-09
314,46971,PRESNTN COMPTNL FINC,IA,2016,Fall,P1,EVELYN PIERCE,8.27,12,2016-09
315,46972,MSCF FINANCE,IA,2016,Fall,I1,BRYAN ROUTLEDGE,9.32,41,2016-09
316,46972,MSCF FINANCE,IA,2016,Fall,M1,BRYAN ROUTLEDGE,7.53,40,2016-09
317,46973,MSCF OPTIONS,IA,2016,Fall,I2,DUANE SEPPI,11.7,30,2016-09
318,46973,MSCF OPTIONS,IA,2016,Fall,M2,DUANE SEPPI,10.52,33,2016-09
319,46976,FINANCIAL OPTIMIZATN,IA,2016,Fall,I1,JAVIER PENA,7.4,30,2016-09
320,46976,FINANCIAL OPTIMIZATN,IA,2016,Fall,M1,JAVIER PENA,9.56,33,2016-09
321,46977,MSF STD FNCL ENGNG,IA,2016,Fall,H1,DUANE SEPPI,9.79,29,2016-09
322,46977,MSF STD FNCL ENGNG,IA,2016,Fall,M1,DUANE SEPPI,9.75,30,2016-09
323,46979,ASSET MGMT,IA,2016,Fall,I2,ANISHA GHOSH,8.95,23,2016-09
324,46979,ASSET MGMT,IA,2016,Fall,M2,ANISHA GHOSH,8.64,28,2016-09
325,46980,MSCF TRG COMPETITION,IA,2016,Fall,I2,DAVID HANDRON,4.12,26,2016-09
