,course id,name,dept,year,semester,section,instructor,hrs,responses,date
10582,48105,ARC DSGN STU: FDT II,ARC,2011,Spring,C,"WOLFF, L.  (co-taught)",13.73,11,2011-01
10583,48105,ARC DSGN STU: FDT II,ARC,2011,Spring,C,"MORRIS, J.  (co-taught)",13.73,11,2011-01
10584,48405,ARC DES STU:SYS INTG,ARC,2011,Spring,B,"MOSHIER, G.  (co-taught)",13.57,7,2011-01
10585,48405,ARC DES STU:SYS INTG,ARC,2011,Spring,B,"MOSHIER, C.  (co-taught)",13.57,7,2011-01
10591,48795,LEED BLDGS GREEN DES,ARC,2011,Spring,A4,"BAIRD, N.  (co-taught)",8.21,14,2011-01
10592,48795,LEED BLDGS GREEN DES,ARC,2011,Spring,A4,"ABDUL-AZIZ, A.  (co-taught)",9.5,14,2011-01
10597,51102,DESIGN STUDIO II,DES,2011,Spring,A,"CHUNG, W.  (co-taught)",13.33,9,2011-01
10598,51102,DESIGN STUDIO II,DES,2011,Spring,A,"HUGHES, K.  (co-taught)",13.67,9,2011-01
10599,51122,DESIGN DRAWING II,DES,2011,Spring,A,"ANDERSON, E.  (co-taught)",13.54,13,2011-01
10600,51122,DESIGN DRAWING II,DES,2011,Spring,A,"MENTZER, M.  (co-taught)",13.33,13,2011-01
10601,51222,COLOR/COMMUNICATION,DES,2011,Spring,A,"MENTZER, M.  (co-taught)",12.5,6,2011-01
10602,51222,COLOR/COMMUNICATION,DES,2011,Spring,A,"HUGHES, K.  (co-taught)",12.5,6,2011-01
10603,51302,TYPOGRAPHY IV,DES,2011,Spring,A,"VITONE, D.  (co-taught)",12.36,11,2011-01
10604,51302,TYPOGRAPHY IV,DES,2011,Spring,A,"BOYARSKI, D.  (co-taught)",12.2,11,2011-01
10609,51382,DESIGN FOR HAPPINESS,DES,2011,Spring,A,"DURRANT, N.  (co-taught)",4.33,9,2011-01
10610,51382,DESIGN FOR HAPPINESS,DES,2011,Spring,A,"WILDMAN, G.  (co-taught)",4.25,9,2011-01
10611,51404,SR PROJ:INTRACTN DES,DES,2011,Spring,A,"BASKINGER, M.  (co-taught)",10.14,7,2011-01
10612,51404,SR PROJ:INTRACTN DES,DES,2011,Spring,A,"ROHRBACH, S.  (co-taught)",10.14,7,2011-01
10615,51712,GRAD DESIGN STUD II,DES,2011,Spring,A,"DURRANT, N.  (co-taught)",9.59,17,2011-01
10616,51712,GRAD DESIGN STUD II,DES,2011,Spring,A,"WILDMAN, G.  (co-taught)",9.59,17,2011-01
10619,54252,INTRO LIGHTING DESGN,DRA,2011,Spring,A,"LIMAURO, C.  (co-taught)",6.0,6,2011-01
10620,54252,INTRO LIGHTING DESGN,DRA,2011,Spring,A,"HOLMES, A.  (co-taught)",6.0,6,2011-01
10625,54410,THEATRE LAB FR UNDGR,DRA,2011,Spring,B,"HARRIS, J.  (co-taught)",4.57,7,2011-01
10626,54410,THEATRE LAB FR UNDGR,DRA,2011,Spring,B,"HANDEL, R.  (co-taught)",4.57,7,2011-01
10629,54710,THEATRE LAB II,DRA,2011,Spring,A,"HARRIS, J.  (co-taught)",9.29,8,2011-01
10630,54710,THEATRE LAB II,DRA,2011,Spring,A,"HANDEL, R.  (co-taught)",8.86,8,2011-01
10635,57020,FLTE STDO PERFM CLS,MUS,2011,Spring,A,"ALMARZA, A.  (co-taught)",9.13,9,2011-01
10636,57020,FLTE STDO PERFM CLS,MUS,2011,Spring,A,"BAXTRESSER, J.  (co-taught)",10.63,9,2011-01
10645,57418,MAJR INSTRMTL ENSMBL,MUS,2011,Spring,A,"COLWELL, D.  (co-taught)",5.86,20,2011-01
10646,57418,MAJR INSTRMTL ENSMBL,MUS,2011,Spring,A,"ZOLLMAN, R.  (co-taught)",10.82,20,2011-01
10659,57818,MAJR INSTRMTL ENSMBL,MUS,2011,Spring,A,"COLWELL, D.  (co-taught)",8.0,18,2011-01
10660,57818,MAJR INSTRMTL ENSMBL,MUS,2011,Spring,A,"ZOLLMAN, R.  (co-taught)",9.8,18,2011-01
10669,48100,ARCH DESIGN STUDIO,ARC,2011,Fall,A,"CROCE, A.  (co-taught)",13.12,17,2011-09
10670,48100,ARCH DESIGN STUDIO,ARC,2011,Fall,A,"ZEIGLER, S.  (co-taught)",13.12,17,2011-09
10671,48100,ARCH DESIGN STUDIO,ARC,2011,Fall,B,"CALISTI, L.  (co-taught)",13.67,9,2011-09
10672,48100,ARCH DESIGN STUDIO,ARC,2011,Fall,B,"KACHNIASZ, J.  (co-taught)",13.67,9,2011-09
10673,48100,ARCH DESIGN STUDIO,ARC,2011,Fall,C,"SUHRBIER, K.  (co-taught)",13.79,15,2011-09
10674,48100,ARCH DESIGN STUDIO,ARC,2011,Fall,C,"FICCA, D.  (co-taught)",12.85,15,2011-09
10675,48408,THR DES SM ARC & DRM,ARC,2011,Fall,A,"BLOCK, R.  (co-taught)",5.0,9,2011-09
10676,48408,THR DES SM ARC & DRM,ARC,2011,Fall,A,"HAYES, H.  (co-taught)",6.0,9,2011-09
10677,62483,GRWN THTR COM OUTRCH,CFA,2011,Fall,A,"MUNDELL, A.  (co-taught)",3.36,11,2011-09
10678,62483,GRWN THTR COM OUTRCH,CFA,2011,Fall,A,"CHEMERS, M.  (co-taught)",3.09,11,2011-09
10681,51101,DESIGN STUDIO I,DES,2011,Fall,A,"ROHRBACH, S.  (co-taught)",12.59,17,2011-09
10682,51101,DESIGN STUDIO I,DES,2011,Fall,A,"STADELMEIER, S.  (co-taught)",12.59,17,2011-09
10683,51121,DESIGN DRAWING I,DES,2011,Fall,A,"BASKINGER, M.  (co-taught)",13.29,17,2011-09
10684,51121,DESIGN DRAWING I,DES,2011,Fall,A,"ZYWICA, M.  (co-taught)",13.29,17,2011-09
10685,51211,GENERATN OF FRM ID I,DES,2011,Fall,A,"BASKINGER, M.  (co-taught)",13.25,8,2011-09
10686,51211,GENERATN OF FRM ID I,DES,2011,Fall,A,"MERRIMAN, T.  (co-taught)",11.75,8,2011-09
10687,51471,PRACTICING DESIGN,DES,2011,Fall,A,"LEE, R.  (co-taught)",3.59,17,2011-09
10688,51471,PRACTICING DESIGN,DES,2011,Fall,A,"FLETCHER, T.  (co-taught)",3.69,17,2011-09
10691,54151,STAGECRAFT,DRA,2011,Fall,A,"BOEVERS, D.  (co-taught)",11.67,9,2011-09
10692,54151,STAGECRAFT,DRA,2011,Fall,A,"HOLCOMB, D.  (co-taught)",12.29,9,2011-09
10693,54169,STUDIOCRAFT,DRA,2011,Fall,A,"BLOCK, R.  (co-taught)",9.2,10,2011-09
10694,54169,STUDIOCRAFT,DRA,2011,Fall,A,"BOEVERS, D.  (co-taught)",5.67,10,2011-09
10695,54200,GHOST LIGHT FORUM,DRA,2011,Fall,A,"MILLER, A.  (co-taught)",2.0,6,2011-09
10696,54200,GHOST LIGHT FORUM,DRA,2011,Fall,A,"OGUREK, N.  (co-taught)",2.0,6,2011-09
10697,54221,DIRECTING II: FNDMTL,DRA,2011,Fall,A,"HARRIS, J.  (co-taught)",4.0,17,2011-09
10698,54221,DIRECTING II: FNDMTL,DRA,2011,Fall,A,"MARTIN, A.  (co-taught)",4.0,17,2011-09
10725,57111,MOVEMENT AND DANCE I,MUS,2011,Fall,A,"DE LA REZA, M.  (co-taught)",4.0,12,2011-09
10726,57111,MOVEMENT AND DANCE I,MUS,2011,Fall,A,"KOPE, P.  (co-taught)",3.91,12,2011-09
10727,57211,MOVEMENT & DANCE III,MUS,2011,Fall,A,"DE LA REZA, M.  (co-taught)",3.5,7,2011-09
10728,57211,MOVEMENT & DANCE III,MUS,2011,Fall,A,"KOPE, P.  (co-taught)",2.0,7,2011-09
10766,48497,THESIS I,ARC,2011,Fall,A,"LUBETZ, A.  (co-taught)",5.9,10,2011-09
10767,48497,THESIS I,ARC,2011,Fall,A,"GARCIA, P.  (co-taught)",5.9,10,2011-09
10768,48497,THESIS I,ARC,2011,Fall,A,"CLIFFORD, D.  (co-taught)",6.33,10,2011-09
10769,54175,CONSERVATORY HOUR,DRA,2011,Fall,A,"BLOCK, R.  (co-taught)",2.13,24,2011-09
10770,54175,CONSERVATORY HOUR,DRA,2011,Fall,A,"HOLCOMB, D.  (co-taught)",2.17,24,2011-09
10771,54175,CONSERVATORY HOUR,DRA,2011,Fall,A,"CHEMERS, M.  (co-taught)",2.17,24,2011-09
10778,57418,MAJR INSTRMTL ENSMBL,MUS,2011,Fall,A,"THOMPSON, T.  (co-taught)",6.4,21,2011-09
10779,57418,MAJR INSTRMTL ENSMBL,MUS,2011,Fall,A,"VOSBURGH, G.  (co-taught)",6.5,21,2011-09
10780,57418,MAJR INSTRMTL ENSMBL,MUS,2011,Fall,A,"ZOLLMAN, R.  (co-taught)",8.18,21,2011-09
10781,57818,MAJR INSTRMTL ENSMBL,MUS,2011,Fall,A,"THOMPSON, T.  (co-taught)",6.31,28,2011-09
10782,57818,MAJR INSTRMTL ENSMBL,MUS,2011,Fall,A,"VOSBURGH, G.  (co-taught)",5.55,28,2011-09
10783,57818,MAJR INSTRMTL ENSMBL,MUS,2011,Fall,A,"ZOLLMAN, R.  (co-taught)",9.22,28,2011-09
10784,60402,SENIOR STUDIO,ART,2011,Spring,A,"BECK, K.  (co-taught)",13.0,7,2011-01
10785,60402,SENIOR STUDIO,ART,2011,Spring,A,"PREKOP, M.  (co-taught)",12.71,7,2011-01
10786,60402,SENIOR STUDIO,ART,2011,Spring,A,"KUMATA, C.  (co-taught)",13.0,7,2011-01
10787,60402,SENIOR STUDIO,ART,2011,Spring,A,"PEDERCINI, P.  (co-taught)",12.5,7,2011-01
10788,54172,BASIC DESIGN,DRA,2011,Spring,A,"BLOCK, R.  (co-taught)",6.0,6,2011-01
10789,54172,BASIC DESIGN,DRA,2011,Spring,A,"PINO, J.  (co-taught)",3.5,6,2011-01
10790,54172,BASIC DESIGN,DRA,2011,Spring,A,"LIMAURO, C.  (co-taught)",5.5,6,2011-01
10791,54172,BASIC DESIGN,DRA,2011,Spring,A,"RUSSMAN, B.  (co-taught)",5.5,6,2011-01
10796,60401,SENIOR STUDIO,ART,2011,Fall,A,"WEIDNER, M.  (co-taught)",11.6,15,2011-09
10797,60401,SENIOR STUDIO,ART,2011,Fall,A,"BINGHAM, R.  (co-taught)",12.5,15,2011-09
10798,60401,SENIOR STUDIO,ART,2011,Fall,A,"BURGESS, L.  (co-taught)",11.25,15,2011-09
10799,60401,SENIOR STUDIO,ART,2011,Fall,A,"DUESING, J.  (co-taught)",13.4,15,2011-09
10804,54231,DESIGN FOR THE STAGE,DRA,2011,Fall,A,"BLOCK, R.  (co-taught)",9.29,7,2011-09
10805,54231,DESIGN FOR THE STAGE,DRA,2011,Fall,A,"PINO, J.  (co-taught)",9.29,7,2011-09
10806,54231,DESIGN FOR THE STAGE,DRA,2011,Fall,A,"LIMAURO, C.  (co-taught)",9.29,7,2011-09
10807,54231,DESIGN FOR THE STAGE,DRA,2011,Fall,A,"RUSSMAN, B.  (co-taught)",10.0,7,2011-09
10808,51401,SENIOR DESIGN LAB,DES,2011,Fall,A,"ROHRBACH, S.  (co-taught)",11.69,13,2011-09
10809,51401,SENIOR DESIGN LAB,DES,2011,Fall,A,"STADELMEIER, S.  (co-taught)",10.54,13,2011-09
10810,51401,SENIOR DESIGN LAB,DES,2011,Fall,A,"HUGHES, K.  (co-taught)",12.15,13,2011-09
10811,51401,SENIOR DESIGN LAB,DES,2011,Fall,A,"SCUPELLI, P.  (co-taught)",11.0,13,2011-09
10812,51401,SENIOR DESIGN LAB,DES,2011,Fall,A,"DURRANT, N.  (co-taught)",10.54,13,2011-09
10813,51401,SENIOR DESIGN LAB,DES,2011,Fall,A,"WILDMAN, G.  (co-taught)",10.73,13,2011-09
10814,57098,ONE PLUS MAJOR STDIO,MUS,2011,Fall,A,"LI, H.  (co-taught)",10.0,6,2011-09
10815,57098,ONE PLUS MAJOR STDIO,MUS,2011,Fall,A,"GRAF, E.  (co-taught)",14.0,6,2011-09
10816,57098,ONE PLUS MAJOR STDIO,MUS,2011,Fall,A,"PREMO, D.  (co-taught)",14.0,6,2011-09
10817,57098,ONE PLUS MAJOR STDIO,MUS,2011,Fall,A,"RUSINEK, M.  (co-taught)",14.0,6,2011-09
10818,57098,ONE PLUS MAJOR STDIO,MUS,2011,Fall,A,"GALLAGHER, M.  (co-taught)",14.0,6,2011-09
10819,57098,ONE PLUS MAJOR STDIO,MUS,2011,Fall,A,"BENGTSON, M.  (co-taught)",2.0,6,2011-09
10833,48105,ARC DSGN STU: FDT II,ARC,2010,Spring,1,PABLO GARCIA,13.74,35,2010-01
10834,48115,PHYSICS FOR ARCHITCT,ARC,2010,Spring,A,ROBERT REID,3.64,22,2010-01
10835,48115,PHYSICS FOR ARCHITCT,ARC,2010,Spring,B,ROBERT REID,4.33,20,2010-01
10836,48125,INTRO DIG MEDIA II,ARC,2010,Spring,1,JEREMY FICCA,7.12,34,2010-01
10837,48135,ARC DRAWNG II APPRNC,ARC,2010,Spring,A,WILLIAM COOPER,9.23,39,2010-01
10838,48205,ARC DSGN STU: MATRLS,ARC,2010,Spring,1,JEREMY FICCA,13.79,28,2010-01
10841,48205,ARC DSGN STU: MATRLS,ARC,2010,Spring,C,JENNIFER LUCCHINO,14.0,7,2010-01
10842,48205,ARC DSGN STU: MATRLS,ARC,2010,Spring,D,MATTHEW MCNUTT,13.57,7,2010-01
10843,48215,MATERIALS & ASSEMBLY,ARC,2010,Spring,A,DALE CLIFFORD,8.33,28,2010-01
10844,48217,STRUCTURES,ARC,2010,Spring,A,IRVING OPPENHEIM,5.52,30,2010-01
10845,48305,ARC DSGN STU:ADV CON,ARC,2010,Spring,1,STEPHEN LEE,13.44,17,2010-01
10846,48305,ARC DSGN STU:ADV CON,ARC,2010,Spring,A,ALFRED CROCE,14.0,6,2010-01
10850,48350,POSTWAR MDN ARCH THY,ARC,2010,Spring,A,KAI GUTSCHOW,7.54,13,2010-01
10851,48351,HMN FACTORS IN ARCH,ARC,2010,Spring,A,CHRISTINE MONDOR,6.11,20,2010-01
10852,48353,HSTY ARCHITCL THEORY,ARC,2010,Spring,A,KAI GUTSCHOW,8.0,6,2010-01
10853,48356,COLOR DRAWING,ARC,2010,Spring,A,WILLIAM COOPER,7.67,9,2010-01
10854,48371,AMERN HSE & HOUSING,ARC,2010,Spring,A,DIANE SHAW,6.2,10,2010-01
10855,48405,ARC DES STU:SYS INTG,ARC,2010,Spring,1,KHEE POH LAM,13.06,16,2010-01
10857,48405,ARC DES STU:SYS INTG,ARC,2010,Spring,B,VIVIAN LOFTNESS,13.5,6,2010-01
10860,48415,ADV BUILDING SYSTEMS,ARC,2010,Spring,A,VOLKER HARTKOPF,6.36,22,2010-01
10861,48440,AMERICAN REGIONALISM,ARC,2010,Spring,A,DIANE SHAW,5.0,7,2010-01
10862,48452,REAL ESTATE DES DEV,ARC,2010,Spring,A,BECKY MINGO,6.78,27,2010-01
10864,48477,UNG MKNG THNG INTACT,ARC,2010,Spring,A,MARK GROSS,6.33,9,2010-01
10865,48505,STUDIO X,ARC,2010,Spring,1,GERARD DAMIANI,13.63,8,2010-01
10867,48551,ETHC & DEC MKG ARCH,ARC,2010,Spring,A,OMER AKIN,6.5,12,2010-01
10869,48569,GIS CAFM,ARC,2010,Spring,A,KRISTEN KURLAND,6.88,8,2010-01
10871,48587,ARCH LIGHTING DESIGN,ARC,2010,Spring,A,CYNTHIA LIMAURO,6.0,9,2010-01
10872,48595,UNDER THE INFLUENCE,ARC,2010,Spring,A,PAUL ROSENBLATT,5.0,6,2010-01
10873,48596,LEED BLDGS GREEN DES,ARC,2010,Spring,A3,AZIZAN ABDUL-AZIZ,5.0,7,2010-01
10874,48596,LEED BLDGS GREEN DES,ARC,2010,Spring,A4,AZIZAN ABDUL-AZIZ,5.69,13,2010-01
10876,48721,BLDG CONTRL DIAGNSTC,ARC,2010,Spring,A,BING DONG,12.36,11,2010-01
10877,48723,PERF ADV BLDNG SYSTM,ARC,2010,Spring,A,VOLKER HARTKOPF,7.08,13,2010-01
10878,48724,PARAMETRIC MODELING,ARC,2010,Spring,A,RAMESH KRISHNAMURTI,8.0,9,2010-01
10879,48725,REAL EST DSGN DVLPMT,ARC,2010,Spring,A,BECKY MINGO,9.71,8,2010-01
10880,48739,MKG THNGS INTACTV GR,ARC,2010,Spring,A,MARK GROSS,9.0,6,2010-01
10883,48781,KNWLDG MGT ARCH PLAN,ARC,2010,Spring,A,KRISTEN KURLAND,10.63,24,2010-01
10884,60102,CONCEPT STUDIO II,ART,2010,Spring,A,PAUL ZELEVANSKY,7.0,12,2010-01
10885,60102,CONCEPT STUDIO II,ART,2010,Spring,B,LOWRY BURGESS,8.0,8,2010-01
10886,60130,3-D MEDIA STUDIO I,ART,2010,Spring,A3,GREGORY WITT,7.5,6,2010-01
10888,60130,3-D MEDIA STUDIO I,ART,2010,Spring,B3,DEE BRIGGS,11.0,9,2010-01
10889,60130,3-D MEDIA STUDIO I,ART,2010,Spring,B4,DEE BRIGGS,11.0,9,2010-01
10890,60130,3-D MEDIA STUDIO I,ART,2010,Spring,C3,JOSEPH MANNINO,9.71,7,2010-01
10893,60130,3-D MEDIA STUDIO I,ART,2010,Spring,D4,CAROL KUMATA,9.67,9,2010-01
10897,60151,2D STUDIO II:DRAWING,ART,2010,Spring,A,MARY WEIDNER,9.5,6,2010-01
10898,60151,2D STUDIO II:DRAWING,ART,2010,Spring,B,CLAYTON MERRELL,12.0,6,2010-01
10899,60151,2D STUDIO II:DRAWING,ART,2010,Spring,C,PATRICIA BELLAN-GILLEN,9.88,8,2010-01
10900,60151,2D STUDIO II:DRAWING,ART,2010,Spring,D,PATRICIA BELLAN-GILLEN,11.0,11,2010-01
10901,60202,CONCEPT STUD ECOART,ART,2010,Spring,A,ROBERT BINGHAM,7.18,11,2010-01
10902,60203,CNCPT STDO: NTWK NAR,ART,2010,Spring,A,JAMES DUESING,7.14,7,2010-01
10903,60206,CNTMP VIS CUL 1945,ART,2010,Spring,A,ELAINE KING,6.22,27,2010-01
10904,60210,ELEC MEDIA STUDIO II,ART,2010,Spring,A,PAOLO PEDERCINI,9.71,7,2010-01
10905,60210,ELEC MEDIA STUDIO II,ART,2010,Spring,B,JACOB CIOCCI,9.13,8,2010-01
10906,60250,2D STUDIO III:PNTNG,ART,2010,Spring,A,JAMIE GRUZSKA,10.14,8,2010-01
10908,60251,2D MED STU IV:PR MED,ART,2010,Spring,A,AYANAH MOOR,10.14,7,2010-01
10909,60251,2D MED STU IV:PR MED,ART,2010,Spring,B,AYANAH MOOR,8.6,10,2010-01
10910,60251,2D MED STU IV:PR MED,ART,2010,Spring,C,KIMBERLY BECK,12.91,11,2010-01
10911,60373,ASTHCS FRM GLBL VWPT,ART,2010,Spring,A,LOWRY BURGESS,5.55,11,2010-01
10912,60381,MUSEUMS & OTH EXH SP,ART,2010,Spring,A,ELAINE KING,5.5,6,2010-01
10913,60387,SPECIAL TOPICS,ART,2010,Spring,A,MELISSA RAGONA,5.0,12,2010-01
10914,60412,ADV ETB ART COMP DES,ART,2010,Spring,A,GOLAN LEVIN,10.57,7,2010-01
10915,60412,ADV ETB ART COMP DES,ART,2010,Spring,B,GOLAN LEVIN,12.29,7,2010-01
10916,60424,ADV CP/ETB: SPEC TPC,ART,2010,Spring,A,PAOLO PEDERCINI,9.0,6,2010-01
10920,60446,ADV SIS SP TOPIC,ART,2010,Spring,A,CAROL KUMATA,9.71,7,2010-01
10921,60447,ADVNCD SIS: SPC TPC,ART,2010,Spring,A,PATRICIA OLESZKO,10.5,6,2010-01
10923,60453,ADV PDP PAINTING,ART,2010,Spring,A,MARY WEIDNER,10.5,6,2010-01
10925,60473,ADV PDP SP TOPIC,ART,2010,Spring,A,CLAYTON MERRELL,10.0,9,2010-01
10926,60474,ADV PDP SP TOPIC,ART,2010,Spring,A,NAYDA COLLAZO-LLORENS,9.29,7,2010-01
10927,60701,MFA ACADEMIC SEMINAR,ART,2010,Spring,A,MELISSA RAGONA,8.0,7,2010-01
10930,60791,MFA INTEGRATIVE SEM,ART,2010,Spring,A,RICHARD PELL,7.18,11,2010-01
10935,62241,BL WH PHOTOGRPHY II,CFA,2010,Spring,A,MARTIN PREKOP,9.29,7,2010-01
10936,62245,PORTRAIT PHOTOGRAPHY,CFA,2010,Spring,A,MARK PERROTT,7.18,11,2010-01
10937,62306,MUSIC-CINEMA CULTURE,CFA,2010,Spring,A,FRANCO SCIANNAMEO,4.29,17,2010-01
10939,62360,PHOTOGRAPH SNC WWII,CFA,2010,Spring,A,LINDA BENEDICT-JONES,5.0,6,2010-01
10940,62381,CLR PHOTOG DIGTL OUT,CFA,2010,Spring,A,DYLAN VITONE,8.43,7,2010-01
10943,51132,INTRO TO PHOTO DESGN,DES,2010,Spring,A3,DYLAN VITONE,5.5,6,2010-01
10949,51202,INTERMED TYPOGRAPHY,DES,2010,Spring,A,STACIE ROHRBACH,12.67,18,2010-01
10950,51212,MEAN FORMS:ID STU II,DES,2010,Spring,A,BRUCE HANINGTON,14.0,8,2010-01
10951,51224,PRDCTN: PIXELS PRINT,DES,2010,Spring,A,MATTHEW GRIFFIN,4.21,19,2010-01
10954,51242,HW THNGS WK: MEC ELE,DES,2010,Spring,A,STEPHEN STADELMEIER,7.57,8,2010-01
10956,51262,COMM DESIGN FUND,DES,2010,Spring,A,KIMBERLY DOWD,6.8,10,2010-01
10957,51262,COMM DESIGN FUND,DES,2010,Spring,B,AMY BICKERTON,7.75,14,2010-01
10958,51262,COMM DESIGN FUND,DES,2010,Spring,C,SARAH PHARES,7.4,10,2010-01
10959,51264,INDSTRL DSGN FNDMTLS,DES,2010,Spring,A,JOSHUA WELSH,7.63,8,2010-01
10961,51312,PRODUCTS IN SYS IDIV,DES,2010,Spring,A,WAYNE CHUNG,11.0,7,2010-01
10975,51406,SR PROJ:COMMNCTN DES,DES,2010,Spring,A,STACIE ROHRBACH,11.67,9,2010-01
10977,51416,SR PROJ: EXHIBIT DES,DES,2010,Spring,A,MARK BASKINGER,13.14,7,2010-01
10978,51422,BASIC INTERACTION,DES,2010,Spring,A,JAMES LIU,7.63,8,2010-01
10980,51426,BEGINNING BK ARTS LB,DES,2010,Spring,A,JOSEPH DICEY,4.5,6,2010-01
10981,51428,TIME MOTION & CMMCTN,DES,2010,Spring,A,DANIEL BOYARSKI,9.71,7,2010-01
10984,51702,GRD DSGN SEM II CPID,DES,2010,Spring,A,DAVID KAUFER,9.0,10,2010-01
10985,51704,GRAD DES SEM II IXD,DES,2010,Spring,A,JOHN ZIMMERMAN,8.5,13,2010-01
10988,51744,RES MTHD HMN CNT DES,DES,2010,Spring,A,BRUCE HANINGTON,4.54,13,2010-01
10994,51831,METHODOLOGY VISULTN,DES,2010,Spring,A,MATTHEW ZYWICA,8.4,15,2010-01
10996,51874,ADAPTIVE SRVS DESGN,DES,2010,Spring,A3,JODI FORLIZZI,6.91,11,2010-01
10997,54012,WARMUP,DRA,2010,Spring,A,BARBARA MACKENZIE-WOOD,2.0,7,2010-01
11012,54158,BASIC PTM,DRA,2010,Spring,A,DAVID BOEVERS,6.09,11,2010-01
11015,54170,STUDIOCRAFT,DRA,2010,Spring,A,RICHARD BLOCK,10.67,9,2010-01
11016,54176,CONSERVATORY HOUR,DRA,2010,Spring,A,RICHARD BLOCK,2.0,14,2010-01
11018,54178,FOUNDATIONS DRAMA I,DRA,2010,Spring,B,WENDY ARONS,3.88,8,2010-01
11020,54188,INTRO TO PLAYWRITING,DRA,2010,Spring,A,JOSHUA HARMON,5.0,6,2010-01
11023,54192,ACTING FOR NON MAJOR,DRA,2010,Spring,B,SARAH KROHN,5.67,9,2010-01
11024,54192,ACTING FOR NON MAJOR,DRA,2010,Spring,C,MARYA CORDES,5.0,7,2010-01
11047,54240,HIST OF ARC & DECOR,DRA,2010,Spring,A,RICHARD BLOCK,3.71,7,2010-01
11048,54246,HISTORY OF CLOTHING,DRA,2010,Spring,A,BARBARA ANDERSON,4.67,9,2010-01
11055,54272,SCENIC FABRCT INSTAL,DRA,2010,Spring,A,DAVID BOEVERS,5.33,9,2010-01
11058,54282,FOUNDATIONS DRAMA II,DRA,2010,Spring,B,DEREK DAVIDSON,4.4,10,2010-01
11073,54327,JUNIOR AUDITIONING,DRA,2010,Spring,A,INGRID SONNICHSEN,6.0,6,2010-01
11074,54330,INTRO STAGE MNGMNT,DRA,2010,Spring,A,TINA SHACKLEFORD,5.0,10,2010-01
11075,54334,PRODCTN RESRCE MGMT,DRA,2010,Spring,A,DAVID HOLCOMB,6.5,8,2010-01
11087,54382,HISTORY OF DRAMA,DRA,2010,Spring,A4,TINA SHACKLEFORD,5.9,10,2010-01
11088,54382,HISTORY OF DRAMA,DRA,2010,Spring,B4,MICHAEL CHEMERS,5.67,9,2010-01
11097,54433,PRODUCNG FOR TV FILM,DRA,2010,Spring,A,SHIRLEY SALDAMARCO,4.63,9,2010-01
11101,54468,THEATER MANAGEMENT,DRA,2010,Spring,A,DAN MARTIN,2.0,6,2010-01
11107,54518,DIRECTORS COLLOQUIUM,DRA,2010,Spring,A,JED HARRIS,2.0,7,2010-01
11110,54666,PRODUCTION AUDIO,DRA,2010,Spring,A,JOSEPH PINO,5.27,12,2010-01
11130,54786,COLLOQUIUM,DRA,2010,Spring,A,WENDY ARONS,3.67,9,2010-01
11165,57120,ELCTV STUDIO (VOICE),MUS,2010,Spring,B,ELIZABETH LAWRENCE,3.0,6,2010-01
11180,57153,HARMONY II,MUS,2010,Spring,A,R. JAMES WHIPPLE,6.5,8,2010-01
11181,57153,HARMONY II,MUS,2010,Spring,B,RICHARD RANDALL,6.0,9,2010-01
11183,57162,EURHYTHMICS II,MUS,2010,Spring,C,Stephen NEELY,4.57,7,2010-01
11187,57164,EURHYTHMICS IV,MUS,2010,Spring,C,ANNABELLE JOSEPH,5.0,6,2010-01
11190,57171,INTRO MUSIC TECHNLGY,MUS,2010,Spring,B3,BENJAMIN OPIE,4.0,6,2010-01
11193,57182,SOLFEGE II,MUS,2010,Spring,B,CLARA ZAHLER,3.67,9,2010-01
11195,57184,SOLFEGE IV,MUS,2010,Spring,B,JUDITH CAGLEY,4.33,9,2010-01
11197,57190,REP LIST MUSCNS II,MUS,2010,Spring,1,PAUL JOHNSTON,2.86,14,2010-01
11198,57191,KEYBOARD STUDIES,MUS,2010,Spring,A,CARLA LAROCCA,2.23,13,2010-01
11200,57209,THE BEATLES,MUS,2010,Spring,A,STEPHEN SCHULTZ,4.51,86,2010-01
11202,57227,JAZZ ENSEMBLE,MUS,2010,Spring,A,ERIC DEFADE,5.0,7,2010-01
11213,57284,MUSIC HISTORY II,MUS,2010,Spring,A,ROBERT FALLON,5.3,20,2010-01
11214,57290,REP LISTNG MUSCNS IV,MUS,2010,Spring,1,PAUL JOHNSTON,2.55,11,2010-01
11222,57337,SOUND RECORDING,MUS,2010,Spring,A3,RICCARDO SCHULZ,6.88,8,2010-01
11228,57377,PSYCHOLOGY OF MUSIC,MUS,2010,Spring,A,RICHARD RANDALL,5.21,14,2010-01
11229,57408,FORM AND ANALYSIS,MUS,2010,Spring,A,MARILYN THOMAS,4.0,9,2010-01
11230,57408,FORM AND ANALYSIS,MUS,2010,Spring,B,MARILYN THOMAS,4.67,9,2010-01
11231,57417,MAJOR CHORAL ENSMBLE,MUS,2010,Spring,A,ROBERT PAGE,3.5,6,2010-01
11232,57417,MAJOR CHORAL ENSMBLE,MUS,2010,Spring,B,ROBERT PAGE,5.0,10,2010-01
11244,57438,MULTITRACK RECORDING,MUS,2010,Spring,A4,RICCARDO SCHULZ,6.2,10,2010-01
11248,57464,EURHYTHMCS NON MAJOR,MUS,2010,Spring,A,ANNABELLE JOSEPH,3.5,6,2010-01
